Blog	looking	second	here	music	until	example	want	wrong	series	re	service	project	person	best	asked	things	couple	had	easy	possible	right	old	people	support	happy	later	time	team	along	love	working	awesome	such	data	so	years	course	didn	internet	million	quite	open	future	san	say	saw	take	ways	going	where	many	wants	photos	single	technology	being	around	traffic	world	power	industry	mean	other	her	am	number	tv	th	large	small	past	hours	via	company	learn	information	its	always	found	week	really	major	also	play	plan	sometimes	set	see	available	last	funny	recent	d	continue	anything	into	link	posted	us	ago	having	try	video	let	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	edition	email	ve	off	less	web	five	become	does	software	much	life	chance	told	work	interview	after	order	office	then	them	they	network	another	do	away	com	voice	hand	photo	night	security	marketing	post	months	way	update	together	guy	change	history	live	car	write	product	still	now	january	year	space	shows	friend	than	online	america	only	between	article	comes	these	media	real	read	early	using	business	aren	lot	trying	since	month	very	family	put	almost	site	help	soon	actually	event	reason	ask	american	pretty	during	x	close	won	probably	else	look	while	user	game	some	doesn	youtube	go	facebook	click	started	control	links	front	times	man	need	able	based	she	state	key	problem	both	well	page	twitter	home	he	friends	amp	companies	even	ever	never	call	tell	give	answer	before	better	went	content	isn	features	seen	don	m	stop	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	popular	super	down	digital	me	did	run	visit	making	sunday	may	maybe	talk	nbsp	interesting	thing	think	first	long	little	anyone	were	performance	especially	show	get	nearly	morning	behind	reading	across	those	different	pay	same	running	money	either	users	enough	videos	again	important	u	public	search	two	share	needs	coming	through	someone	everyone	house	hard	idea	done	least	part	b	tool	most	find	please	point	simple	simply	create	itself	source	big	bit	google	often	back	others	ll	day	text	including	taking	value	thought	latest	add	works	happens	minutes	under	every	would	phone	must	my	keep	end	over	writing	each	group	saturday	got	free	days	already	top	too	took	though	watch	report	full	news	quickly	several	social	gave	everything	why	head	check	no	when	cool	says	goes	today	name	turn	place	given	any	ideas	sure	written	come	case	good	without	seems	blog	there	follow	program	far	list	design	version	short	might	used	friday	feel	story	kind	nothing	windows	his	hit	him	wrote	art	recently	political	questions	question	fast	called	once	app	use	few	something	instead	looks	our	york	their	which	who	looked	view	stories	gets	know	press	because	lead	getting	own	made	book
Publishing 2.0	1	2	7	0	0	2	1	1	0	8	1	2	0	3	1	1	0	5	1	0	6	1	5	1	0	0	2	1	1	0	0	2	0	1	12	2	1	0	4	1	1	2	21	0	1	1	1	0	3	4	6	0	0	0	4	2	4	2	2	1	3	0	7	0	6	2	2	0	0	0	0	0	0	3	0	3	4	0	1	5	0	2	1	1	0	1	2	2	0	5	0	3	1	2	0	1	14	2	6	1	0	0	0	1	5	0	1	2	0	2	0	2	5	2	0	0	1	4	1	0	1	2	0	6	1	1	21	0	3	0	0	3	0	0	0	1	0	0	0	0	2	1	12	2	0	2	5	9	0	0	1	0	0	0	9	1	4	1	0	1	2	1	0	0	0	1	1	7	0	1	1	1	0	3	9	0	1	0	5	2	5	13	0	1	0	2	7	0	3	2	2	0	2	0	3	1	11	2	0	1	0	1	2	0	0	0	0	0	2	0	1	0	2	2	2	5	2	3	1	4	0	2	2	8	2	4	0	2	0	1	0	1	0	1	2	2	13	7	0	8	0	0	8	0	0	0	0	1	0	1	0	0	0	15	2	2	0	6	5	1	0	1	0	2	3	0	9	4	2	2	0	1	0	0	0	2	2	1	0	0	1	3	1	3	0	1	0	2	1	2	9	1	0	3	0	0	0	1	6	0	0	1	7	1	2	0	1	0	0	2	0	1	3	0	0	7	1	0	1	4	1	3	0	5	0	1	1	1	1	0	1	0	0	0	12	1	0	0	2	0	1	0	0	4	1	8	2	2	1	2	0	3	0	0	5	0	0	0	1	1	0	0	2	2	0	0	2	2	2	4	1	1	0	0	3	2	3	1	1	2	0	1	0	3	5	56	0	1	1	0	2	9	3	0	5	3	1	0	1	3	1	0	0	0	3	0	1	0	2	2	0	1	1	6	7	0	2	0	0	0	0	0	1	2	0	0	4	5	1	0	4	0	0	1	0	1	6	1	4	5	4	0	0	2	4	0	1	1	7	5	6	12	2	0	0	10	2	2	3	5	2	0	2	0	2
mezzoblue	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	5	1	0	3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
Eschaton	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	5	0	2	0	3	0	1	0	0	0	0	0	6	1	1	0	0	0	1	0	0	0	1	0	1	0	3	0	2	0	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	2	5	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	4	0	0	0	1	1	3	0	0	0	0	1	0	0	0	1	0	0	1	2	1	2	1	0	1	0	0	2	0	1	0	2	0	0	0	0	2	0	1	0	1	0	0	2	0	3	2	0	0	3	5	0	1	0	0	1	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	3	1	1	1	0	0	0	0	1	3	0	1	0	0	0
PerezHilton	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Slashdot	0	2	2	0	0	1	1	0	2	3	2	6	0	0	0	2	0	5	1	1	1	6	4	11	1	0	5	1	0	0	0	0	1	8	4	8	0	3	4	3	0	7	1	3	3	0	2	0	0	0	5	1	0	0	2	1	2	0	2	2	6	1	2	0	1	1	0	0	2	2	0	0	0	5	0	5	9	0	3	1	3	2	7	0	1	0	2	3	0	3	0	5	2	0	2	6	0	1	2	2	1	1	1	0	1	0	1	1	1	5	1	0	4	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	2	0	2	1	5	0	7	2	0	1	3	7	0	0	6	0	3	0	0	0	0	4	0	3	0	4	0	0	0	4	1	0	0	0	1	3	8	0	3	6	0	1	4	4	0	2	3	1	2	2	3	0	20	1	3	0	0	0	0	2	2	1	0	2	1	1	3	0	2	1	0	2	0	1	0	2	0	0	2	0	0	3	0	0	5	4	0	4	0	0	0	0	1	0	2	2	2	0	2	0	6	0	0	1	1	0	6	0	6	0	0	2	7	1	0	10	0	0	0	1	0	0	1	0	3	1	1	2	1	0	2	1	0	4	0	3	5	1	0	0	1	0	0	0	1	2	0	0	0	0	1	1	1	1	0	0	1	0	1	4	2	0	0	8	2	1	2	2	2	0	1	2	2	2	0	0	1	3	0	1	3	0	0	0	1	4	13	2	5	3	0	0	4	1	0	0	0	1	0	2	2	1	1	2	2	0	1	0	0	1	0	4	1	0	3	2	2	0	2	2	0	2	0	0	0	0	0	2	0	2	3	1	4	2	3	1	2	0	3	1	1	4	0	0	2	1	1	1	0	2	6	0	2	1	1	1	0	1	0	0	1	0	0	4	3	0	6	0	0	0	1	0	1	1	0	1	0	0	3	2	0	0	0	2	1	2	0	1	0	1	0	2	2	4	0	21	0	0	7	4	0	0	2	1	2	2	0	0	0	0	0	0	4	0	2	2	0	0	2	6	12	3	0	1	0	0	1	0	0	1	2	3	2	0
Gothamist	2	1	4	0	0	0	2	0	0	1	0	0	2	2	0	2	0	2	0	0	0	4	2	0	0	0	1	0	0	1	0	0	0	0	4	1	0	0	1	2	1	0	0	0	3	0	1	0	1	1	0	0	1	0	0	3	1	1	1	0	0	0	3	4	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	8	0	0	2	0	0	1	4	1	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	2	2	0	2	2	0	0	0	1	0	4	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	4	0	1	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	1	1	0	2	0	3	0	0	0	0	0	0	1	0	0	1	1	0	1	2	0	0	0	2	0	0	1	0	1	0	3	4	0	0	0	1	0	2	3	7	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	1	0	2	1	0	0	0	2	3	1	1	0	0	0	0	3	1	0	0	1	0	1	1	2	1	3	0	0	0	0	0	0	0	1	0	2	0	0	0	5	0	1	0	0	1	0	1	1	1	3	4	0	0	1	2	3	0	0	1	0	5	0	0	0	4	1	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	4	0	1	1	3	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	4	2	1	0	1	1	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	3	2	0	0	1	0	0	0	2	1	2	0	0	1	0	0	6	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	2	6	1	5	1	1	2	0	2	0	7	0	0	1	0	0
we make money not art	1	0	0	1	0	1	0	0	2	0	0	1	0	1	1	0	0	1	0	1	1	1	2	0	0	0	9	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	1	3	0	1	0	5	1	0	0	3	2	0	0	0	2	2	0	1	0	0	0	0	0	2	0	1	0	0	0	5	1	0	0	0	3	1	1	0	1	1	15	0	2	0	0	7	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	2	1	0	0	1	2	0	0	3	1	0	0	0	1	2	1	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	3	0	1	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	2	0	0	0	1	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	2	0	1	0	0	0	7	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	7	0	0	0	0	1	1	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	3	0	2	2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	5	0	0	0	0	0	1	2	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	2	1	0	0	2	0	0	1	2	0	0	1	0	0	0	10	0	4	0	0	0	2	1	0	1	0	0	0	0	3	0	5	5	3	2	0	0	0	0	0	1	0	0	1	1	2
BuzzMachine	0	3	2	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	4	0	2	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	2	1	2	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	3	4	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	2	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	1	2	0	2	0	1	5	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	6	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	1	0	0	1	0	2	0	3	0	0	1	1	0	0	0	0	1	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	1	2	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	5
Little Green Footballs	0	0	5	1	1	0	2	0	1	0	1	0	0	0	0	1	0	1	0	0	7	1	1	2	0	1	3	0	1	0	0	0	0	0	2	2	0	0	0	0	1	2	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	1	4	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	4	0	0	1	0	0	1	0	2	1	2	0	0	4	1	2	2	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	2	2	1	2	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	1	0	2	1	0	2	0	0	2	1	0	0	2	1	1	0	0	0	2	1	13	0	1	3	2	2	2	3	1	0	0	0	0	2	5	0	0	0	0	2	1	1	0	2	0	0	1	3	1	0	1	1	1	1	0	0	0	2	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	2	0	6	4	0	0	1	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	4	1	6	0	0	0	2	2	0	0	0	1	0	4	0	0	0	2	1	1	0	4	0	2	1	3	0	1	1	0	2	0	0	1	0	0	0	0	1	0	2	1	0	1	1	2	2	1	0	0	0	0	1	0	0	0	1	1	5	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	4	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	5	0	0	1	0	0	1	1	3	1	1	0	0	6	1	0	5	0	0	1	0	0	1	0	4	4	2	0	0	0	8	1	0	0	0	2	0	2	0	2	0	1	0	0	0	1	3	0	2	0	0	3	1	1	0	1	0	2	0	0	0	10	1	1	0	0	1	2	0	1	0	0	1	0	1	2	0	0	0	3	0	3	1	3	0	0	1	0	1	0	0	2	0	1	1	1
Joho the Blog	0	0	1	0	0	1	1	0	0	2	0	3	0	0	0	1	3	2	1	0	0	0	0	1	1	0	1	0	0	1	3	1	0	0	1	2	1	0	1	0	0	2	0	0	1	0	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	1	0	2	2	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	3	2	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	5	0	0	2	3	0
ongoing by Tim Bray	0	0	7	0	0	0	0	1	0	12	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	3	0	2	2	0	0	0	0	5	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	1	2	1	0	2	0	0	0	0	1	2	4	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	3	2	2	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	5	0	2	0	0	0	0	0	2	0	0	0	0	3	2	1	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	1
The Viral Garden	10	3	26	6	0	4	34	4	9	4	5	4	5	8	1	6	6	36	2	1	7	1	73	2	1	4	25	5	4	4	1	3	8	0	70	6	3	14	0	0	1	2	1	3	7	2	7	6	11	15	23	3	0	3	0	18	7	9	4	5	6	8	17	5	26	5	1	9	3	5	1	4	9	13	8	6	12	6	12	7	9	0	10	2	0	8	0	24	0	14	1	5	6	1	1	10	20	0	16	5	3	4	0	10	13	3	7	10	1	1	2	14	8	7	0	0	3	17	2	7	3	0	3	20	6	5	1	0	11	5	0	8	2	5	3	17	0	8	1	0	22	50	90	6	8	39	3	22	2	1	0	3	0	15	41	5	28	2	4	0	3	1	3	0	9	2	14	22	1	18	6	2	2	9	8	2	16	2	2	2	26	122	2	9	2	31	13	11	14	7	3	1	25	0	4	3	11	11	3	10	28	10	3	0	3	8	0	5	11	11	8	1	8	4	1	20	3	0	15	10	3	14	0	8	1	1	1	8	2	0	1	1	5	5	6	14	8	71	1	17	11	3	29	18	3	10	1	11	10	2	9	10	7	15	7	0	4	14	16	2	3	13	0	0	3	3	69	20	9	1	1	1	1	7	1	2	0	56	11	0	0	4	4	12	4	2	0	4	13	30	26	8	3	0	33	0	1	5	24	0	0	1	8	0	10	4	3	16	0	3	2	10	5	0	3	5	0	0	3	8	8	6	12	4	14	9	0	1	15	3	6	7	2	6	24	9	3	6	2	6	11	7	0	13	8	0	9	19	11	17	21	0	1	4	11	11	1	10	1	2	1	1	13	30	0	3	68	3	5	13	5	3	5	0	9	5	8	2	4	6	8	5	0	0	3	1	1	10	134	0	0	24	1	7	19	38	5	0	3	4	10	2	3	2	8	6	11	5	7	8	16	2	3	46	41	17	0	1	12	0	0	1	7	1	0	2	2	0	2	0	8	2	3	6	0	6	0	6	0	0	4	3	0	20	22	10	5	1	6	2	72	21	15	0	5	3	1	18	0	40	2	7	25	7	0
SpikedHumor - Today's Videos and Pictures	0	6	101	2	1	0	1	0	0	2	0	2	1	6	0	1	1	5	0	0	0	2	3	1	1	0	4	1	0	1	0	2	1	0	1	2	0	0	0	1	1	0	2	0	1	0	1	0	0	0	2	0	2	1	0	1	4	0	1	0	0	1	2	0	2	0	2	1	0	0	0	0	0	0	0	0	7	0	2	0	1	2	3	3	0	0	4	4	0	4	3	0	1	0	0	2	0	5	2	2	1	0	14	2	1	1	0	0	0	0	0	0	1	0	1	4	1	1	1	1	0	0	0	2	3	0	0	0	0	2	0	0	2	1	0	2	0	3	1	0	2	3	0	1	1	2	1	6	4	0	0	1	2	0	3	0	2	0	1	2	1	1	2	4	0	0	2	0	0	0	3	0	0	1	0	3	0	2	1	0	1	0	4	0	1	4	0	0	0	0	1	0	0	2	3	0	1	0	0	1	0	2	0	3	0	0	1	0	0	2	1	5	3	0	1	7	1	5	2	0	0	1	0	0	0	1	4	1	1	0	2	0	1	3	0	0	1	0	0	7	0	0	0	4	3	1	1	1	0	0	2	0	2	0	0	0	0	3	1	0	0	3	0	0	0	3	1	2	2	2	0	0	0	0	0	3	0	4	2	0	0	3	0	1	1	2	0	2	0	2	2	2	0	0	0	2	0	4	4	0	0	0	0	1	2	0	0	0	1	1	0	0	0	4	1	0	3	1	1	0	1	0	1	0	1	2	1	0	0	1	0	7	0	3	2	0	2	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	2	2	2	8	2	3	0	0	0	1	0	1	1	5	0	2	2	0	0	102	0	2	2	0	1	0	0	1	4	2	0	0	4	4	1	0	0	0	0	0	0	2	2	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	2	0	0	3	0	0	0	0	9	0	1	0	0	0	2	1	0	0	1	2	2	0	1	2	0	1	1	0	3	0	3	0	1	1	2	4	0	3	0	0	0	0	0
